,classifier_id,data_id,attack_id,n,defense_id,id,def_name,classifier_name,train_time,attack_size,attack_name,attack_iter,attack_batch_size,attack_threshold,attack_time,ben_pred_time,ben_acc,ben_cov,ben_mean,ben_std,ben_resid,adv_pred_time,adv_acc,adv_cov,adv_mean,adv_std,adv_resid
3c941fafb6a76ecec23f8137bb9808178f67dd430c6de9da2317829d1cf611dd,f0ffed1bf315d11e23e4ace072a16359f0d00fa04be28dcbb0c3223a449f58b6,a39766b372edf58815b9655fd4c457e035a5571caf4d8de0f2a7d0674a748b02,865f04f437e522df7fd525e19b878c630d8e58d4979ef47c182d847b31cbd15f,60000,,3c941fafb6a76ecec23f8137bb9808178f67dd430c6de9da2317829d1cf611dd,Control,Default Classifier,879.808737838,10,PGD-step_size:0.01,10,1024,0.03,44.63767212099992,21.691331687,0.9964,1.0,0.10000000149011612,0.29975342750549316,1.5295029132111893e-10,0.013389781999990191,0.9,1.0,0.10000000149011612,0.2984951436519623,1.5295029132111893e-10
713349d607dfd75427c241cd6a1041b0976462087d67b9bdeb899d12c2b432f8,f0ffed1bf315d11e23e4ace072a16359f0d00fa04be28dcbb0c3223a449f58b6,a39766b372edf58815b9655fd4c457e035a5571caf4d8de0f2a7d0674a748b02,0ccbdcf9cfbd0e2d6d70008dfb8ac427daaeacbb7b3fc0bc6262df7d2f470efc,60000,,713349d607dfd75427c241cd6a1041b0976462087d67b9bdeb899d12c2b432f8,Control,Default Classifier,879.808737838,10,FGM-step_size:0.01,10,1024,0.03,1.6663632939998934,1.2525984330000028,0.9964,1.0,0.10000000149011612,0.29975342750549316,1.5295029132111893e-10,0.010119889999941734,0.9,1.0,0.10000000149011612,0.2974248230457306,1.5295029132111893e-10
423ec9754030153e5aa1b0bb9bdc0c002854bfc6f36d5835c8822a660cd173cc,f0ffed1bf315d11e23e4ace072a16359f0d00fa04be28dcbb0c3223a449f58b6,a39766b372edf58815b9655fd4c457e035a5571caf4d8de0f2a7d0674a748b02,4529fdc8b927927d97fe4906823ae0248a8f165d43b8c755738b2207690ca93d,60000,,423ec9754030153e5aa1b0bb9bdc0c002854bfc6f36d5835c8822a660cd173cc,Control,Default Classifier,879.808737838,10,PixelAttack,10,1024,0.03,21.540296128000023,1.2280292700000928,0.9964,1.0,0.10000000149011612,0.29975342750549316,1.5295029132111893e-10,0.006846300000006522,1.0,1.0,0.10000000149011612,0.29995599389076233,1.5295029132111893e-10
59868c1085c3e8251940cd73551c567c96c37bcb9be2c4f4730a22ddf6ddf513,f0ffed1bf315d11e23e4ace072a16359f0d00fa04be28dcbb0c3223a449f58b6,a39766b372edf58815b9655fd4c457e035a5571caf4d8de0f2a7d0674a748b02,bb9103eb066a839d58a89df48883464113b7b2b840a70faa026eca0d3d1dfd57,60000,,59868c1085c3e8251940cd73551c567c96c37bcb9be2c4f4730a22ddf6ddf513,Control,Default Classifier,879.808737838,10,DeepFool,10,1024,0.03,92.3043043639999,1.2509348149999369,0.9964,1.0,0.10000000149011612,0.29975342750549316,1.5295029132111893e-10,0.006759655999985625,0.2,1.0,0.10000000149011612,0.27880969643592834,1.5295029132111893e-10
116fddb0e563072f26cf7099d5b2189534ee9603859fa7b70dd108e08040550a,f0ffed1bf315d11e23e4ace072a16359f0d00fa04be28dcbb0c3223a449f58b6,a39766b372edf58815b9655fd4c457e035a5571caf4d8de0f2a7d0674a748b02,b4712c7b4e940a841ae20575a1f3e8dccab5c73bc963db2fd793bfcd335a95ca,60000,,116fddb0e563072f26cf7099d5b2189534ee9603859fa7b70dd108e08040550a,Control,Default Classifier,879.808737838,10,HopSkipJump,10,1024,0.03,265.991681838,1.262909450000052,0.9964,1.0,0.10000000149011612,0.29975342750549316,1.5295029132111893e-10,0.00681372700000793,0.0,1.0,0.10000000149011612,0.2866668403148651,1.5295029132111893e-10
c6f6d5190befbff394ced5597dd2489b784bfb236a9024fa24c8e40485e6a4df,f0ffed1bf315d11e23e4ace072a16359f0d00fa04be28dcbb0c3223a449f58b6,a39766b372edf58815b9655fd4c457e035a5571caf4d8de0f2a7d0674a748b02,7f2d068c2fb8a1efc27d4c51e84bdedddcbd409de4c8f0535cb92fcd2af3c545,60000,,c6f6d5190befbff394ced5597dd2489b784bfb236a9024fa24c8e40485e6a4df,Control,Default Classifier,879.808737838,10,AdversarialPatch,10,1024,0.03,3.2661279999999806,1.2532721469999615,0.9964,1.0,0.10000000149011612,0.29975342750549316,1.5295029132111893e-10,25.29321048399993,0.0,1.0,0.09999999403953552,0.2627261281013489,1.5295029132111893e-10
58433aa6e23cfd6beff5527e4b2eae15d23909f88f015bf51ce94837fde40473,f0ffed1bf315d11e23e4ace072a16359f0d00fa04be28dcbb0c3223a449f58b6,a39766b372edf58815b9655fd4c457e035a5571caf4d8de0f2a7d0674a748b02,f0c37a6337c2ee6d830ffd5e201e034c29e05f52bbeb349cb1b6ded601791d8c,60000,,58433aa6e23cfd6beff5527e4b2eae15d23909f88f015bf51ce94837fde40473,Control,Default Classifier,879.808737838,10,Threshold Attack,10,1024,0.03,40.18927611799995,1.3686464710001474,0.9964,1.0,0.10000000149011612,0.29975342750549316,1.5295029132111893e-10,0.00722834199996214,1.0,1.0,0.10000000149011612,0.29995599389076233,1.5295029132111893e-10
dd8b5092d8c4c2bf91971bf939fda3222a53adadb4e5b74bd9e6ea7d1a6cb240,f206fc57631a131329e300d2c862f1c1b87bb508d5c125b91ede752ee7613b7d,a39766b372edf58815b9655fd4c457e035a5571caf4d8de0f2a7d0674a748b02,865f04f437e522df7fd525e19b878c630d8e58d4979ef47c182d847b31cbd15f,60000,d863604ef959b471fde74fb448725e87ec97b70e10643c5c73c61c66681921b1,dd8b5092d8c4c2bf91971bf939fda3222a53adadb4e5b74bd9e6ea7d1a6cb240,Feature Squeezing-bit_depth:2,Default Classifier,819.6572035480001,10,PGD-step_size:0.01,10,1024,0.03,1.141356550999717,1.3037650960000065,0.0974,1.0,0.10000000894069672,0.0171505156904459,7.838010795957473e-10,0.006903390999923431,0.0,1.0,0.10000000149011612,0.01715051382780075,7.838010795957473e-10
7ff771460d4f265ee20eb1516b2204d8baf9ce840a9c368883afd029d49cdb52,f206fc57631a131329e300d2c862f1c1b87bb508d5c125b91ede752ee7613b7d,a39766b372edf58815b9655fd4c457e035a5571caf4d8de0f2a7d0674a748b02,0ccbdcf9cfbd0e2d6d70008dfb8ac427daaeacbb7b3fc0bc6262df7d2f470efc,60000,d863604ef959b471fde74fb448725e87ec97b70e10643c5c73c61c66681921b1,7ff771460d4f265ee20eb1516b2204d8baf9ce840a9c368883afd029d49cdb52,Feature Squeezing-bit_depth:2,Default Classifier,819.6572035480001,10,FGM-step_size:0.01,10,1024,0.03,2.061762368000018,1.296491905000039,0.0974,1.0,0.10000000894069672,0.0171505156904459,7.838010795957473e-10,0.007238519999646087,0.0,1.0,0.10000000149011612,0.01715051382780075,7.838010795957473e-10
6fd694dd39b5050dd34c256e267fd965f250b2295a2e796a9454419ff7356d25,f206fc57631a131329e300d2c862f1c1b87bb508d5c125b91ede752ee7613b7d,a39766b372edf58815b9655fd4c457e035a5571caf4d8de0f2a7d0674a748b02,4529fdc8b927927d97fe4906823ae0248a8f165d43b8c755738b2207690ca93d,60000,d863604ef959b471fde74fb448725e87ec97b70e10643c5c73c61c66681921b1,6fd694dd39b5050dd34c256e267fd965f250b2295a2e796a9454419ff7356d25,Feature Squeezing-bit_depth:2,Default Classifier,819.6572035480001,10,PixelAttack,10,1024,0.03,1.15650782099965,1.2847231380001176,0.0974,1.0,0.10000000894069672,0.0171505156904459,7.838010795957473e-10,0.007268139999723644,0.0,1.0,0.10000000149011612,0.01715051382780075,7.838010795957473e-10
e11baa614b203ac9257d9dc4b032cf96b90d1be49efafcb62b27872fbdbe1108,f206fc57631a131329e300d2c862f1c1b87bb508d5c125b91ede752ee7613b7d,a39766b372edf58815b9655fd4c457e035a5571caf4d8de0f2a7d0674a748b02,bb9103eb066a839d58a89df48883464113b7b2b840a70faa026eca0d3d1dfd57,60000,d863604ef959b471fde74fb448725e87ec97b70e10643c5c73c61c66681921b1,e11baa614b203ac9257d9dc4b032cf96b90d1be49efafcb62b27872fbdbe1108,Feature Squeezing-bit_depth:2,Default Classifier,819.6572035480001,10,DeepFool,10,1024,0.03,95.96482213100035,1.2972412210001494,0.0974,1.0,0.10000000894069672,0.0171505156904459,7.838010795957473e-10,0.007044903000405611,0.0,1.0,0.10000000149011612,0.01715051382780075,7.838010795957473e-10
