,classifier_id,data_id,attack_id,n,defense_id,id,def_name,classifier_name,train_time,attack_size,attack_name,attack_iter,attack_batch_size,attack_threshold,attack_time,ben_pred_time,ben_acc,ben_cov,ben_mean,ben_std,ben_resid,adv_pred_time,adv_acc,adv_cov,adv_mean,adv_std,adv_resid
4889b25cd0825dee68b199e321698d4deb447a86db77d770b28137575ac08e50,6962f52b16cb1c654d5eb3f51d5693364a3c3a368fdcf8483ec1fba1a705b784,283333b43c0c6eafd5fe2f000bbe99b827849465041c35f728146bf05c8f48e0,bc3ff436fe08e46c67e53d14bf20c08e020d76849fca9d2e99dfe0118d74665d,100000,,4889b25cd0825dee68b199e321698d4deb447a86db77d770b28137575ac08e50,Control,Default Classifier,1210.766058294,100,PGD-step_size:0.001-norm:1,20,1024,0.03,97.71044986699985,40.61108431100001,0.9506,1.0,0.10000000149011612,0.29587724804878235,9.002388834389308e-10,0.04152628699989691,0.12,1.0,0.10000000149011612,0.2746654450893402,9.002388834389308e-10
920c809abffbbaca4830347bee5c455edd721311055d221a4e890f14b65da735,6962f52b16cb1c654d5eb3f51d5693364a3c3a368fdcf8483ec1fba1a705b784,283333b43c0c6eafd5fe2f000bbe99b827849465041c35f728146bf05c8f48e0,042eaab4f31e7b79d6b5591d51b2ad5186d3124cb2c0663cc289d0c70b0e1817,100000,,920c809abffbbaca4830347bee5c455edd721311055d221a4e890f14b65da735,Control,Default Classifier,1210.766058294,100,PGD-step_size:0.001-norm:2,20,1024,0.03,28.996843200000058,2.6599692269999196,0.9506,1.0,0.10000000149011612,0.29587724804878235,9.002388834389308e-10,0.031217992999927446,0.12,1.0,0.10000000149011612,0.2746654450893402,9.002388834389308e-10
8de5798cdd991a46730b92e8534de928fd74bd8489c37a0ab1e1a6be08a75b03,6962f52b16cb1c654d5eb3f51d5693364a3c3a368fdcf8483ec1fba1a705b784,283333b43c0c6eafd5fe2f000bbe99b827849465041c35f728146bf05c8f48e0,0a5384f0ced60518a4338298672bc7414c2eb653d131345f6ed81f1b892b5b8a,100000,,8de5798cdd991a46730b92e8534de928fd74bd8489c37a0ab1e1a6be08a75b03,Control,Default Classifier,1210.766058294,100,PGD-step_size:0.001-norm:inf,20,1024,0.03,28.55012762299998,2.7229584459998932,0.9506,1.0,0.10000000149011612,0.29587724804878235,9.002388834389308e-10,0.029752155000096536,0.12,1.0,0.10000000149011612,0.2746654450893402,9.002388834389308e-10
e3870d7cb58635afa9f86d9287dc5580c6912609009d6e1a7c80116687d0a75f,6962f52b16cb1c654d5eb3f51d5693364a3c3a368fdcf8483ec1fba1a705b784,283333b43c0c6eafd5fe2f000bbe99b827849465041c35f728146bf05c8f48e0,4ec6484fcceddc1d6f48c05f140eae095a2f9d05db07eda74b9154021a57fea2,100000,,e3870d7cb58635afa9f86d9287dc5580c6912609009d6e1a7c80116687d0a75f,Control,Default Classifier,1210.766058294,100,PGD-step_size:0.01-norm:1,20,1024,0.03,27.79219091699997,2.7364544350000415,0.9506,1.0,0.10000000149011612,0.29587724804878235,9.002388834389308e-10,0.030584898999904908,0.12,1.0,0.10000000149011612,0.2746654450893402,9.002388834389308e-10
495ceeb1c4a4ce37ff37aca87e248b6b71d4e8db24a49dc484752bef5b7eed05,6962f52b16cb1c654d5eb3f51d5693364a3c3a368fdcf8483ec1fba1a705b784,283333b43c0c6eafd5fe2f000bbe99b827849465041c35f728146bf05c8f48e0,63f95ca25baffd8171aee0f6329fd3a08dc27ea2b23438b43580dd18ead31d1f,100000,,495ceeb1c4a4ce37ff37aca87e248b6b71d4e8db24a49dc484752bef5b7eed05,Control,Default Classifier,1210.766058294,100,PGD-step_size:0.01-norm:2,20,1024,0.03,27.774773964000133,2.7418977979998544,0.9506,1.0,0.10000000149011612,0.29587724804878235,9.002388834389308e-10,0.03145846400002483,0.12,1.0,0.10000000149011612,0.2746654450893402,9.002388834389308e-10
0b242fb94c2011ad3aac8e4360f10c344c8e4aec381cc54aa524f05f0576cd5c,6962f52b16cb1c654d5eb3f51d5693364a3c3a368fdcf8483ec1fba1a705b784,283333b43c0c6eafd5fe2f000bbe99b827849465041c35f728146bf05c8f48e0,42b5a5bd7767d444ec17b0a2d1e693ef10cb2930fe3f79a2d86b013de259f89e,100000,,0b242fb94c2011ad3aac8e4360f10c344c8e4aec381cc54aa524f05f0576cd5c,Control,Default Classifier,1210.766058294,100,PGD-step_size:0.01-norm:inf,20,1024,0.03,27.932883491999974,2.739493231999859,0.9506,1.0,0.10000000149011612,0.29587724804878235,9.002388834389308e-10,0.030981613999983892,0.12,1.0,0.10000000149011612,0.2746654450893402,9.002388834389308e-10
85805d2654ff94b868dd4b2f982124ecebc42efc26cc380d74790951eb6424f2,6962f52b16cb1c654d5eb3f51d5693364a3c3a368fdcf8483ec1fba1a705b784,283333b43c0c6eafd5fe2f000bbe99b827849465041c35f728146bf05c8f48e0,4584134428d32ab796226502a194b39426d256966e4b23bcdc3b91cbd9c76f16,100000,,85805d2654ff94b868dd4b2f982124ecebc42efc26cc380d74790951eb6424f2,Control,Default Classifier,1210.766058294,100,PGD-step_size:0.1-norm:1,20,1024,0.03,27.285349918000065,2.725675178000074,0.9506,1.0,0.10000000149011612,0.29587724804878235,9.002388834389308e-10,0.03029394999998658,0.12,1.0,0.10000000149011612,0.2746654450893402,9.002388834389308e-10
26c23422076b3fba0763bbf9d4561bb5c5cd27ad4e8db6e834963e5617d2c7d0,6962f52b16cb1c654d5eb3f51d5693364a3c3a368fdcf8483ec1fba1a705b784,283333b43c0c6eafd5fe2f000bbe99b827849465041c35f728146bf05c8f48e0,2dc579016183356d283f03c2304d4b8fcfe09ba297904464e476e0174e6c6a4a,100000,,26c23422076b3fba0763bbf9d4561bb5c5cd27ad4e8db6e834963e5617d2c7d0,Control,Default Classifier,1210.766058294,100,PGD-step_size:0.1-norm:2,20,1024,0.03,27.644501177999928,2.7112165230000755,0.9506,1.0,0.10000000149011612,0.29587724804878235,9.002388834389308e-10,0.030808832999809965,0.12,1.0,0.10000000149011612,0.2746654450893402,9.002388834389308e-10
14807673c2b83631749172f88753aace0cca4fc64f9bb86d55d29fd9ccd05058,6962f52b16cb1c654d5eb3f51d5693364a3c3a368fdcf8483ec1fba1a705b784,283333b43c0c6eafd5fe2f000bbe99b827849465041c35f728146bf05c8f48e0,90b76eead81655e7431ff36f87c678fb4492721dff4399a28eb1d6e8f150ccc8,100000,,14807673c2b83631749172f88753aace0cca4fc64f9bb86d55d29fd9ccd05058,Control,Default Classifier,1210.766058294,100,PGD-step_size:0.1-norm:inf,20,1024,0.03,27.84674835299984,2.722259061999921,0.9506,1.0,0.10000000149011612,0.29587724804878235,9.002388834389308e-10,0.030903007000006255,0.12,1.0,0.10000000149011612,0.2746654450893402,9.002388834389308e-10
72d262d10b0da6432a41ad5210d69980bdf299e1d1beac2d80148d9e7eb7ab23,6962f52b16cb1c654d5eb3f51d5693364a3c3a368fdcf8483ec1fba1a705b784,283333b43c0c6eafd5fe2f000bbe99b827849465041c35f728146bf05c8f48e0,96b8ad469df275d4f92d75f9824befd2fad90b7276ef459b503f8486be1d54d7,100000,,72d262d10b0da6432a41ad5210d69980bdf299e1d1beac2d80148d9e7eb7ab23,Control,Default Classifier,1210.766058294,100,FGM-step_size:0.001-norm:1,20,1024,0.03,3.7047156159999304,2.7114041720001296,0.9506,1.0,0.10000000149011612,0.29587724804878235,9.002388834389308e-10,0.030572938999966937,0.92,1.0,0.10000000149011612,0.29329565167427063,9.002388834389308e-10
6a523a47e8339b009fc64805fee4c6235e0df336c056e4c8ed745990f10c7c91,6962f52b16cb1c654d5eb3f51d5693364a3c3a368fdcf8483ec1fba1a705b784,283333b43c0c6eafd5fe2f000bbe99b827849465041c35f728146bf05c8f48e0,10298568d86ac8c672b0b8c6de50bc860765209f7fef9dccd3ad23ebddec2369,100000,,6a523a47e8339b009fc64805fee4c6235e0df336c056e4c8ed745990f10c7c91,Control,Default Classifier,1210.766058294,100,FGM-step_size:0.001-norm:2,20,1024,0.03,1.4858810919999996,2.709516442999984,0.9506,1.0,0.10000000149011612,0.29587724804878235,9.002388834389308e-10,0.029919142999915493,0.84,1.0,0.10000000149011612,0.29239925742149353,9.002388834389308e-10
ac32593e779140b3751a48735108eb7402379c91608ee2bd928c4defbe21005d,6962f52b16cb1c654d5eb3f51d5693364a3c3a368fdcf8483ec1fba1a705b784,283333b43c0c6eafd5fe2f000bbe99b827849465041c35f728146bf05c8f48e0,ef09b54f6bcd7b46cf3fb901b99dddbd8f9aee6341cf463ca913b2a6e50c584f,100000,,ac32593e779140b3751a48735108eb7402379c91608ee2bd928c4defbe21005d,Control,Default Classifier,1210.766058294,100,FGM-step_size:0.001-norm:inf,20,1024,0.03,1.470117271999925,2.718570505000116,0.9506,1.0,0.10000000149011612,0.29587724804878235,9.002388834389308e-10,0.03103760599992711,0.38,1.0,0.10000000149011612,0.2663768529891968,9.002388834389308e-10
4fff740311e34800370befc80ecc6baa274c241c98a05889aba2cb523edc6dee,6962f52b16cb1c654d5eb3f51d5693364a3c3a368fdcf8483ec1fba1a705b784,283333b43c0c6eafd5fe2f000bbe99b827849465041c35f728146bf05c8f48e0,77bf85699adf309859ef2a3e2a021449bff558b91f5d7fe60b5c8db49486f6dc,100000,,4fff740311e34800370befc80ecc6baa274c241c98a05889aba2cb523edc6dee,Control,Default Classifier,1210.766058294,100,FGM-step_size:0.01-norm:1,20,1024,0.03,1.4601074009999593,2.710581821000005,0.9506,1.0,0.10000000149011612,0.29587724804878235,9.002388834389308e-10,0.030045751999978165,0.92,1.0,0.10000000149011612,0.29329562187194824,9.002388834389308e-10
85e9be58372381c0d36833a859e0a7ea0930cf4520a261b01897ebb6a543e44e,6962f52b16cb1c654d5eb3f51d5693364a3c3a368fdcf8483ec1fba1a705b784,283333b43c0c6eafd5fe2f000bbe99b827849465041c35f728146bf05c8f48e0,b97d9a4d5097ed1ff7c1d8cb48567eafe7e32ce06d193dcbf3d9d016a9ee9da5,100000,,85e9be58372381c0d36833a859e0a7ea0930cf4520a261b01897ebb6a543e44e,Control,Default Classifier,1210.766058294,100,FGM-step_size:0.01-norm:2,20,1024,0.03,1.431845351999982,2.7087989179999568,0.9506,1.0,0.10000000149011612,0.29587724804878235,9.002388834389308e-10,0.030707466999956523,0.84,1.0,0.10000000149011612,0.2923993766307831,9.002388834389308e-10
049e200399023d00426ff509b599186ab9656f968625ddb1878f1fbbde3e099f,6962f52b16cb1c654d5eb3f51d5693364a3c3a368fdcf8483ec1fba1a705b784,283333b43c0c6eafd5fe2f000bbe99b827849465041c35f728146bf05c8f48e0,46335340a70c0a85da95a225c5ac6f0c01cef854cb1e24d76d3b5b68f003e5b5,100000,,049e200399023d00426ff509b599186ab9656f968625ddb1878f1fbbde3e099f,Control,Default Classifier,1210.766058294,100,FGM-step_size:0.01-norm:inf,20,1024,0.03,1.4422624060000544,2.71381240300002,0.9506,1.0,0.10000000149011612,0.29587724804878235,9.002388834389308e-10,0.03054742799986343,0.38,1.0,0.10000000149011612,0.2663768529891968,9.002388834389308e-10
